City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
cravo norte,6.3017,-70.2041,80.76,61,81,3.31,CO,1621056319
crossville,35.949,-85.0269,48.2,66,1,3.85,US,1621056284
cuamba,-14.8031,36.5372,64.92,78,93,1.12,MZ,1621056392
dawlatabad,36.4141,64.9053,80.69,18,0,6.78,AF,1621056257
deputatskiy,69.3,139.9,29.28,94,99,3.96,RU,1621056310
dhidhdhoo,6.8833,73.1,84.51,77,98,30.87,MV,1621056347
dikson,73.5069,80.5464,23.76,67,100,17.72,RU,1621056288
dingle,10.9995,122.6711,90.5,57,100,12.64,PH,1621056310
dunedin,-45.8742,170.5036,51.01,56,6,14.0,NZ,1621056283
dzerzhinsk,56.2389,43.4631,73.4,56,0,6.71,RU,1621056413
east london,-33.0153,27.9116,62.6,59,0,5.75,ZA,1621056353
edd,13.9297,41.6925,90.07,47,72,4.25,ER,1621056400
eenhana,-17.4667,16.3333,55.4,71,20,4.61,NA,1621056308
eldorado,-23.7869,-54.2836,56.75,91,44,2.37,BR,1621056405
empalme,27.9667,-110.8167,82.0,36,0,1.99,MX,1621056459
envira,-7.3,-70.2167,70.79,98,71,1.61,BR,1621056334
eruwa,7.5333,3.4167,74.17,94,64,3.51,NG,1621056392
esperance,-33.8667,121.9,66.2,52,40,8.05,AU,1621056409
estelle,29.8458,-90.1067,71.6,100,1,4.68,US,1621056366
exeter,50.7236,-3.5275,46.99,97,99,2.82,GB,1621056146
faanui,-16.4833,-151.75,82.49,74,100,15.88,PF,1621056324
fairbanks,64.8378,-147.7164,59.0,33,40,4.61,US,1621056098
fare,-16.7,-151.0167,82.24,74,100,17.78,PF,1621056189
faya,18.3851,42.4509,73.4,43,20,4.61,SA,1621056326
fenyi,27.8112,114.6681,93.29,53,12,11.39,CN,1621056437
fivizzano,44.2383,10.126,53.01,85,56,1.99,IT,1621056296
flin flon,54.7682,-101.865,42.37,74,100,8.19,CA,1621056341
florianopolis,-27.6146,-48.5012,63.0,94,75,1.14,BR,1621056431
fort nelson,58.8053,-122.7002,50.0,81,75,8.05,CA,1621056425
fortuna,40.5982,-124.1573,48.99,100,90,9.22,US,1621056304
frankenberg,51.0667,8.8,46.99,100,40,1.14,DE,1621056324
frankfort,-27.2667,28.4833,46.49,37,0,3.87,ZA,1621056351
freeport,40.6576,-73.5832,57.99,44,1,5.75,US,1621056353
garissa,-0.4536,39.6401,78.91,67,49,17.9,KE,1621056463
garowe,8.4054,48.4845,83.37,50,39,24.29,SO,1621056307
gat,31.61,34.7642,70.0,41,0,1.01,IL,1621056408
gazli,40.1333,63.45,78.62,14,0,24.27,UZ,1621056433
georgetown,5.4112,100.3354,89.6,66,20,5.75,MY,1621056249
geraldton,-28.7667,114.6,84.2,26,8,14.97,AU,1621056407
goderich,43.7501,-81.7165,46.4,66,25,2.3,CA,1621056307
gorontalo,0.5412,123.0595,87.35,68,86,5.17,ID,1621056340
goya,-29.14,-59.2626,52.59,67,1,4.29,AR,1621056420
gravdal,68.1214,13.5031,42.44,84,100,9.71,NO,1621056356
grindavik,63.8424,-22.4338,35.6,93,20,4.61,IS,1621056343
guipavas,48.4352,-4.3972,51.8,93,90,9.22,FR,1621056327
haines junction,60.7522,-137.5108,44.6,49,72,8.05,CA,1621056271
hakkari,37.5833,44.1667,55.4,67,20,1.14,TR,1621056455
hambantota,6.1241,81.1185,86.0,79,75,5.75,LK,1621056361
hamilton,39.1834,-84.5333,51.8,87,1,0.4,US,1621056346
hasaki,35.7333,140.8333,75.99,68,75,14.97,JP,1621056319
hattiesburg,31.3271,-89.2903,60.01,88,1,3.44,US,1621056312
havelock,34.8791,-76.9013,51.01,76,1,3.44,US,1621056339
havoysund,70.9963,24.6622,35.6,80,90,14.97,NO,1621056333
henties bay,-22.116,14.2845,64.02,72,0,5.88,NA,1621056375
hermanus,-34.4187,19.2345,62.01,90,86,1.01,ZA,1621056264
hihya,30.6713,31.588,71.6,64,0,11.5,EG,1621056393
hilo,19.7297,-155.09,78.8,61,40,5.75,US,1621055748
hirara,24.8,125.2833,86.0,74,40,17.27,JP,1621056323
hirtshals,57.5881,9.9592,48.2,93,75,12.66,DK,1621056457
hithadhoo,-0.6,73.0833,81.54,81,100,30.49,MV,1621056225
hobart,-42.8794,147.3294,52.0,46,75,8.05,AU,1621056264
hofn,64.2539,-15.2082,37.15,60,92,12.71,IS,1621056396
holeby,54.7115,11.4642,48.0,89,100,1.99,DK,1621056281
honiara,-9.4333,159.95,83.53,74,74,1.41,SB,1621055989
hope,33.6671,-93.5916,54.0,65,1,5.26,US,1621056258
hoshcha,50.6003,26.6744,53.6,87,0,11.18,UA,1621056406
hualmay,-11.0964,-77.6139,63.86,86,2,6.33,PE,1621056331
humaita,-7.5061,-63.0208,73.89,94,100,0.43,BR,1621056387
husavik,66.0449,-17.3389,35.6,69,90,6.51,IS,1621056412
huwei,23.7082,120.4453,99.0,67,2,8.01,TW,1621056360
hvittingfoss,59.4833,10.0167,51.01,1,63,5.03,NO,1621056336
ibra,22.6906,58.5334,91.17,27,23,2.15,OM,1621056340
ifakara,-8.1333,36.6833,71.35,80,100,1.63,TZ,1621056460
ilhabela,-23.7781,-45.3581,68.27,80,92,5.88,BR,1621056299
ilulissat,69.2167,-51.1,28.4,93,20,5.53,GL,1621056362
inhambane,-23.865,35.3833,68.0,83,20,7.16,MZ,1621056361
inuvik,68.3499,-133.7218,42.8,56,100,5.75,CA,1621056395
inverell,-29.7833,151.1167,61.0,50,21,5.01,AU,1621056430
iqaluit,63.7506,-68.5145,26.6,74,90,5.75,CA,1621056311
iquitos,-3.7481,-73.2472,75.2,94,75,4.61,PE,1621056357
iracoubo,5.4802,-53.2011,75.81,89,94,5.73,GF,1621056329
isangel,-19.55,169.2667,82.4,69,75,8.32,VU,1621056303
ishurdi,24.1333,89.0833,96.67,42,0,9.84,BD,1621056380
iskele,39.484,26.9278,60.8,72,0,3.44,TR,1621056286
ixtapa,20.7,-105.2,82.0,62,12,2.75,MX,1621056432
jacqueville,5.2052,-4.4146,80.6,94,20,1.14,CI,1621056427
jaguey grande,22.5269,-81.1286,77.0,88,20,4.61,CU,1621056405
jamestown,42.097,-79.2353,46.4,42,1,3.42,US,1621056257
jerome,42.7241,-114.5186,59.0,58,1,13.8,US,1621056377
jizan,17.3333,42.6667,93.2,66,20,12.66,SA,1621056309
kabinda,-6.1333,24.4833,67.12,82,31,3.98,CD,1621056461
kahului,20.8947,-156.47,75.2,69,20,13.8,US,1621056257
kaitangata,-46.2817,169.8464,48.0,57,9,14.0,NZ,1621056436
kamenka,51.3223,42.7678,66.07,58,100,12.73,RU,1621056419
kaniama,-7.5667,24.1833,64.92,83,50,4.36,CD,1621056461
kapaa,22.0752,-159.319,75.2,78,1,21.85,US,1621056298
karpathos,35.507,27.2132,68.0,64,0,6.91,GR,1621056378
karratha,-20.7377,116.8463,84.4,20,76,20.07,AU,1621056275
kasongo-lunda,-6.4667,16.8167,65.95,82,77,2.15,CD,1621056314
